player,nationality,position,team,comp_level,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_per90,npxg_per90,Season,minutes_90s,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,throw_ins,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,blocks,blocked_shots,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,carries,progressive_carries,carries_into_final_third,carries_into_penalty_area,passes_received,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Ismael Aaneba,fr FRA,DF,Strasbourg,fr Ligue 1,19,1999,3.0,3.0,204.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-2019,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,120.0,60.8,1324.0,635.0,32.0,43.0,74.4,31.0,51.0,60.8,9.0,17.0,52.9,2.0,6.0,2.0,2.0,8.0,92.0,28.0,3.0,0.0,2.0,11.0,0.0,0.0,0.0,0.0,25.0,0.0,8.0,3.0,1.32,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,6.0,7.0,5.0,0.0,5.0,0.0,5.0,8.0,9.0,0.0,157.0,9.0,49.0,80.0,31.0,0.0,157.0,70.0,3.0,4.0,0.0,71.0,4.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,18.0,1.0,5.0,16.7
Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,27,1990,36.0,36.0,3195.0,3.0,2.0,0.0,0.0,3.0,0.0,0.08,0.06,0.14,0.08,0.14,2.6,2.6,0.07,0.07,2018-2019,35.5,11.0,0.0,24.4,0.31,0.07,0.27,0.06,0.4,0.4,1564.0,1971.0,79.4,24295.0,10061.0,874.0,995.0,87.8,551.0,687.0,80.2,101.0,194.0,52.1,35.0,117.0,52.0,4.0,212.0,1603.0,364.0,46.0,5.0,7.0,42.0,2.0,0.0,1.0,1.0,316.0,4.0,33.0,86.0,2.42,67.0,8.0,7.0,2.0,6.0,0.17,4.0,1.0,1.0,0.0,0.0,48.0,24.0,35.0,11.0,2.0,33.0,9.0,24.0,40.0,91.0,2.0,2300.0,123.0,666.0,1046.0,611.0,63.0,2300.0,1051.0,89.0,69.0,16.0,1335.0,35.0,15.0,0.0,12.0,14.0,10.0,0.0,0.0,0.0,216.0,10.0,12.0,45.5
Ignazio Abate,it ITA,DF,Milan,it Serie A,31,1986,19.0,15.0,1302.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.01,0.01,2018-2019,14.5,1.0,0.0,100.0,0.07,0.0,0.0,0.08,-0.1,-0.1,763.0,925.0,82.5,13052.0,4961.0,352.0,375.0,93.9,342.0,403.0,84.9,60.0,114.0,52.6,7.0,69.0,11.0,5.0,88.0,817.0,107.0,14.0,0.0,4.0,26.0,0.0,0.0,0.0,0.0,93.0,1.0,19.0,23.0,1.59,23.0,0.0,0.0,0.0,1.0,0.07,1.0,0.0,0.0,0.0,0.0,34.0,19.0,16.0,13.0,5.0,19.0,6.0,13.0,18.0,50.0,0.0,1070.0,67.0,342.0,579.0,156.0,11.0,1070.0,646.0,27.0,13.0,4.0,695.0,8.0,2.0,0.0,13.0,6.0,0.0,0.0,1.0,0.0,71.0,13.0,8.0,61.9
Issah Abbas,gh GHA,FW,Mainz 05,de Bundesliga,19,1998,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.29,2018-2019,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,1.0,2.0,50.0,26.0,1.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,4.0,0.0,4.0,3.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,30,1987,38.0,38.0,3420.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1.6,0.04,0.04,2018-2019,38.0,4.0,0.0,21.1,0.11,0.0,0.0,0.09,-1.6,-1.6,1330.0,1614.0,82.4,28130.0,10765.0,344.0,405.0,84.9,804.0,877.0,91.7,171.0,289.0,59.2,3.0,49.0,3.0,0.0,71.0,1543.0,63.0,62.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,19.0,25.0,0.66,17.0,1.0,4.0,0.0,2.0,0.05,2.0,0.0,0.0,0.0,0.0,60.0,33.0,48.0,11.0,1.0,44.0,24.0,20.0,65.0,196.0,0.0,2027.0,259.0,1276.0,738.0,46.0,27.0,2027.0,1040.0,16.0,7.0,1.0,1182.0,16.0,6.0,0.0,34.0,20.0,1.0,0.0,1.0,1.0,205.0,113.0,71.0,61.4
Mehdi Abeid,dz ALG,MF,Dijon,fr Ligue 1,25,1992,26.0,23.0,2023.0,3.0,0.0,1.0,1.0,6.0,0.0,0.13,0.0,0.13,0.09,0.09,2.9,2.1,0.13,0.1,2018-2019,22.5,10.0,0.0,27.8,0.44,0.06,0.2,0.06,0.1,-0.1,903.0,1068.0,84.6,15602.0,3725.0,419.0,466.0,89.9,365.0,405.0,90.1,90.0,143.0,62.9,22.0,92.0,5.0,2.0,97.0,1028.0,35.0,17.0,4.0,12.0,24.0,10.0,1.0,6.0,0.0,5.0,5.0,13.0,41.0,1.82,30.0,4.0,1.0,1.0,2.0,0.09,2.0,0.0,0.0,0.0,0.0,51.0,33.0,27.0,16.0,8.0,33.0,7.0,26.0,29.0,23.0,1.0,1356.0,30.0,252.0,870.0,258.0,21.0,1355.0,786.0,43.0,23.0,4.0,908.0,40.0,31.0,0.0,57.0,28.0,1.0,0.0,0.0,0.0,145.0,17.0,26.0,39.5
Charles Abi,fr FRA,"DF,FW",Saint-Étienne,fr Ligue 1,18,2000,3.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.17,0.17,2018-2019,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.06,-0.1,-0.1,6.0,17.0,35.3,45.0,8.0,5.0,7.0,71.4,0.0,4.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,5.63,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,29.0,1.0,6.0,10.0,14.0,4.0,29.0,16.0,2.0,2.0,0.0,17.0,3.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,66.7
David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,32,1986,17.0,17.0,1420.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.05,0.05,2018-2019,15.8,1.0,0.0,20.0,0.06,0.0,0.0,0.15,-0.8,-0.8,514.0,671.0,76.6,10872.0,4118.0,142.0,172.0,82.6,284.0,332.0,85.5,83.0,136.0,61.0,5.0,56.0,6.0,2.0,80.0,646.0,22.0,20.0,0.0,13.0,8.0,0.0,0.0,0.0,0.0,2.0,3.0,12.0,12.0,0.76,9.0,0.0,1.0,1.0,1.0,0.06,0.0,0.0,1.0,0.0,0.0,22.0,14.0,13.0,8.0,1.0,23.0,12.0,11.0,24.0,64.0,0.0,839.0,94.0,370.0,434.0,47.0,8.0,839.0,418.0,20.0,14.0,0.0,442.0,5.0,2.0,0.0,11.0,9.0,0.0,0.0,0.0,0.0,104.0,40.0,22.0,64.5
Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,28,1990,10.0,9.0,790.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.03,0.03,2018-2019,8.8,2.0,0.0,28.6,0.23,0.0,0.0,0.03,-0.2,-0.2,319.0,372.0,85.8,5012.0,1108.0,154.0,174.0,88.5,129.0,137.0,94.2,18.0,26.0,69.2,2.0,14.0,0.0,0.0,19.0,368.0,4.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,9.0,8.0,0.91,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,11.0,7.0,10.0,3.0,11.0,3.0,8.0,14.0,15.0,0.0,461.0,24.0,112.0,294.0,58.0,1.0,461.0,193.0,6.0,4.0,1.0,266.0,4.0,8.0,0.0,19.0,16.0,0.0,0.0,0.0,0.0,61.0,5.0,4.0,55.6
Francesco Acerbi,it ITA,DF,Lazio,it Serie A,30,1988,37.0,37.0,3309.0,3.0,1.0,0.0,0.0,4.0,1.0,0.08,0.03,0.11,0.08,0.11,3.4,3.4,0.09,0.09,2018-2019,36.8,7.0,0.0,38.9,0.19,0.17,0.43,0.2,-0.4,-0.4,1560.0,1800.0,86.7,30496.0,11601.0,547.0,598.0,91.5,765.0,828.0,92.4,216.0,313.0,69.0,10.0,111.0,7.0,1.0,135.0,1735.0,61.0,46.0,0.0,15.0,6.0,0.0,0.0,0.0,0.0,15.0,4.0,11.0,31.0,0.84,27.0,0.0,1.0,3.0,2.0,0.05,1.0,0.0,1.0,0.0,0.0,40.0,30.0,22.0,13.0,5.0,50.0,32.0,18.0,61.0,169.0,1.0,2178.0,257.0,1019.0,1060.0,112.0,28.0,2178.0,1191.0,39.0,26.0,2.0,1306.0,20.0,8.0,1.0,24.0,42.0,3.0,0.0,0.0,0.0,226.0,96.0,43.0,69.1
