player,nationality,position,team,comp_level,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_per90,npxg_per90,Season,minutes_90s,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,throw_ins,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,blocks,blocked_shots,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,carries,progressive_carries,carries_into_final_third,carries_into_penalty_area,passes_received,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Afriyie Acquah,gh GHA,MF,Empoli,it Serie A,26,1992,28.0,19.0,1510.0,2.0,0.0,0.0,0.0,4.0,0.0,0.12,0.0,0.12,0.12,0.12,1.4,1.4,0.09,0.09,2018-2019,16.8,7.0,0.0,31.8,0.42,0.09,0.29,0.07,0.6,0.6,580.0,738.0,78.6,8818.0,2290.0,319.0,355.0,89.9,218.0,266.0,82.0,30.0,62.0,48.4,11.0,66.0,12.0,3.0,91.0,723.0,11.0,3.0,2.0,4.0,34.0,0.0,0.0,0.0,0.0,8.0,4.0,28.0,44.0,2.62,34.0,0.0,4.0,2.0,1.0,0.06,1.0,0.0,0.0,0.0,0.0,27.0,9.0,9.0,12.0,6.0,11.0,1.0,10.0,12.0,16.0,0.0,901.0,22.0,132.0,474.0,315.0,29.0,901.0,623.0,58.0,45.0,9.0,690.0,32.0,21.0,0.0,27.0,32.0,1.0,0.0,0.0,0.0,88.0,22.0,28.0,44.0
Tyler Adams,us USA,MF,RB Leipzig,de Bundesliga,19,1999,10.0,8.0,721.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.25,0.1,0.1,0.01,0.01,2018-2019,8.0,1.0,0.0,50.0,0.12,0.0,0.0,0.03,-0.1,-0.1,424.0,530.0,80.0,6109.0,2131.0,227.0,272.0,83.5,146.0,173.0,84.4,22.0,35.0,62.9,5.0,53.0,5.0,0.0,64.0,511.0,18.0,15.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,12.0,12.0,1.5,10.0,0.0,0.0,1.0,3.0,0.37,3.0,0.0,0.0,0.0,0.0,29.0,17.0,12.0,16.0,1.0,17.0,1.0,16.0,16.0,8.0,0.0,641.0,16.0,87.0,443.0,119.0,6.0,641.0,292.0,19.0,19.0,0.0,405.0,18.0,6.0,0.0,13.0,11.0,0.0,0.0,0.0,0.0,60.0,17.0,14.0,54.8
Antonio Adán,es ESP,GK,Atlético Madrid,es La Liga,31,1987,1.0,1.0,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-2019,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,24.0,54.2,389.0,295.0,3.0,3.0,100.0,3.0,3.0,100.0,7.0,18.0,38.9,0.0,0.0,0.0,0.0,0.0,13.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,25.0,28.0,0.0,0.0,0.0,28.0,10.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aday,es ESP,"DF,MF",Girona,es La Liga,30,1987,10.0,8.0,645.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.28,0.28,0.0,0.28,0.3,0.3,0.04,0.04,2018-2019,7.2,3.0,2.0,33.3,0.42,0.0,0.0,0.03,-0.3,-0.3,227.0,320.0,70.9,4254.0,1386.0,105.0,117.0,89.7,86.0,123.0,69.9,30.0,63.0,47.6,13.0,5.0,11.0,10.0,11.0,247.0,71.0,13.0,0.0,6.0,50.0,9.0,3.0,1.0,0.0,49.0,2.0,6.0,28.0,3.91,18.0,6.0,2.0,1.0,2.0,0.28,2.0,0.0,0.0,0.0,0.0,9.0,8.0,2.0,5.0,2.0,1.0,0.0,1.0,7.0,17.0,1.0,380.0,21.0,87.0,161.0,136.0,6.0,380.0,204.0,35.0,24.0,5.0,227.0,8.0,4.0,0.0,6.0,8.0,0.0,0.0,1.0,0.0,24.0,2.0,5.0,28.6
Khaled Adénon,bj BEN,DF,Amiens,fr Ligue 1,33,1985,23.0,22.0,1994.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.03,0.03,2018-2019,22.2,0.0,0.0,0.0,0.0,0.0,0.0,0.09,-0.7,-0.7,837.0,973.0,86.0,17115.0,6832.0,237.0,258.0,91.9,476.0,518.0,91.9,109.0,168.0,64.9,5.0,53.0,3.0,0.0,63.0,938.0,32.0,31.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,11.0,0.5,8.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,22.0,20.0,11.0,0.0,26.0,11.0,15.0,31.0,101.0,0.0,1203.0,127.0,587.0,598.0,24.0,16.0,1203.0,687.0,13.0,4.0,0.0,701.0,5.0,7.0,1.0,32.0,20.0,2.0,0.0,0.0,1.0,107.0,51.0,58.0,46.8
Claud Adjapong,it ITA,"MF,FW",Sassuolo,it Serie A,20,1998,5.0,3.0,270.0,1.0,0.0,0.0,0.0,1.0,0.0,0.33,0.0,0.33,0.33,0.33,0.7,0.7,0.24,0.24,2018-2019,3.0,1.0,0.0,50.0,0.33,0.5,1.0,0.36,0.3,0.3,74.0,101.0,73.3,1068.0,286.0,41.0,52.0,78.8,25.0,30.0,83.3,3.0,4.0,75.0,2.0,1.0,2.0,0.0,4.0,75.0,24.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,23.0,2.0,5.0,1.0,0.33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,3.0,0.0,3.0,1.0,2.0,1.0,4.0,0.0,147.0,5.0,29.0,62.0,59.0,8.0,147.0,71.0,6.0,4.0,4.0,79.0,12.0,6.0,0.0,3.0,6.0,2.0,0.0,0.0,0.0,12.0,2.0,4.0,33.3
Yacine Adli,fr FRA,MF,Bordeaux,fr Ligue 1,18,2000,7.0,2.0,216.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,2018-2019,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,111.0,151.0,73.5,1783.0,526.0,54.0,69.0,78.3,45.0,59.0,76.3,9.0,16.0,56.3,6.0,17.0,2.0,1.0,17.0,145.0,5.0,1.0,1.0,2.0,9.0,2.0,2.0,0.0,0.0,2.0,1.0,3.0,10.0,4.17,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,2.0,3.0,2.0,3.0,0.0,3.0,2.0,0.0,0.0,184.0,0.0,12.0,107.0,68.0,6.0,184.0,112.0,13.0,12.0,2.0,147.0,11.0,5.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,16.0,2.0,1.0,66.7
Ali Adnan Kadhim,iq IRQ,DF,Atalanta,it Serie A,24,1993,3.0,2.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.13,0.13,2018-2019,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.08,-0.2,-0.2,77.0,117.0,65.8,1301.0,457.0,45.0,54.0,83.3,23.0,35.0,65.7,7.0,19.0,36.8,3.0,5.0,1.0,1.0,8.0,89.0,26.0,4.0,0.0,1.0,14.0,6.0,0.0,6.0,0.0,16.0,2.0,6.0,8.0,4.34,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,6.0,0.0,137.0,7.0,34.0,56.0,50.0,4.0,137.0,73.0,7.0,2.0,0.0,79.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,8.0,6.0,3.0,66.7
Aritz Aduriz,es ESP,FW,Athletic Club,es La Liga,37,1981,20.0,10.0,943.0,2.0,0.0,2.0,2.0,5.0,0.0,0.19,0.0,0.19,0.0,0.0,3.3,1.8,0.32,0.17,2018-2019,10.5,9.0,0.0,52.9,0.86,0.0,0.0,0.1,-1.3,-1.8,146.0,238.0,61.3,1751.0,325.0,90.0,139.0,64.7,38.0,66.0,57.6,3.0,7.0,42.9,8.0,9.0,4.0,1.0,15.0,229.0,9.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,19.0,1.81,14.0,0.0,3.0,2.0,1.0,0.1,1.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,4.0,0.0,313.0,4.0,18.0,149.0,148.0,37.0,311.0,142.0,8.0,5.0,1.0,256.0,23.0,6.0,0.0,28.0,8.0,12.0,0.0,1.0,0.0,17.0,52.0,57.0,47.7
Luis Advíncula,pe PER,DF,Rayo Vallecano,es La Liga,28,1990,28.0,27.0,2389.0,1.0,3.0,0.0,0.0,6.0,2.0,0.04,0.11,0.15,0.04,0.15,1.1,1.1,0.04,0.04,2018-2019,26.5,5.0,0.0,29.4,0.19,0.06,0.2,0.06,-0.1,-0.1,957.0,1197.0,79.9,15766.0,5283.0,506.0,557.0,90.8,343.0,422.0,81.3,76.0,144.0,52.8,16.0,60.0,23.0,11.0,90.0,977.0,217.0,16.0,1.0,34.0,54.0,0.0,0.0,0.0,0.0,201.0,3.0,34.0,50.0,1.88,33.0,4.0,1.0,7.0,11.0,0.41,6.0,0.0,0.0,3.0,0.0,52.0,38.0,38.0,12.0,2.0,22.0,2.0,20.0,19.0,60.0,1.0,1462.0,84.0,439.0,671.0,370.0,25.0,1462.0,824.0,51.0,32.0,7.0,865.0,41.0,33.0,2.0,48.0,46.0,0.0,2.0,0.0,0.0,131.0,24.0,33.0,42.1
Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,22,1996,27.0,23.0,2032.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-2019,22.6,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,653.0,964.0,67.7,10341.0,4920.0,340.0,413.0,82.3,246.0,343.0,71.7,47.0,137.0,34.3,8.0,54.0,14.0,6.0,89.0,752.0,208.0,9.0,0.0,6.0,42.0,0.0,0.0,0.0,0.0,197.0,4.0,35.0,22.0,0.97,21.0,0.0,0.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,45.0,29.0,32.0,10.0,3.0,33.0,11.0,22.0,27.0,65.0,1.0,1200.0,89.0,403.0,595.0,218.0,9.0,1200.0,478.0,36.0,21.0,4.0,567.0,20.0,11.0,0.0,24.0,28.0,0.0,0.0,0.0,0.0,116.0,19.0,27.0,41.3
Nayef Aguerd,ma MAR,DF,Dijon,fr Ligue 1,22,1996,13.0,12.0,1050.0,3.0,0.0,0.0,0.0,4.0,1.0,0.26,0.0,0.26,0.26,0.26,1.5,1.5,0.13,0.13,2018-2019,11.7,4.0,0.0,40.0,0.34,0.3,0.75,0.15,1.5,1.5,465.0,604.0,77.0,9427.0,4171.0,153.0,167.0,91.6,223.0,264.0,84.5,80.0,148.0,54.1,2.0,39.0,3.0,2.0,32.0,561.0,40.0,18.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0,22.0,3.0,8.0,8.0,0.69,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,12.0,8.0,9.0,0.0,20.0,11.0,9.0,14.0,59.0,1.0,747.0,68.0,336.0,383.0,36.0,9.0,747.0,376.0,11.0,6.0,0.0,460.0,8.0,5.0,0.0,19.0,8.0,0.0,0.0,1.0,0.0,58.0,41.0,23.0,64.1
Sergio Agüero,ar ARG,FW,Manchester City,eng Premier League,30,1988,33.0,31.0,2459.0,21.0,8.0,2.0,2.0,4.0,0.0,0.77,0.29,1.06,0.7,0.99,18.1,16.5,0.66,0.6,2018-2019,27.3,41.0,3.0,35.3,1.5,0.16,0.46,0.14,2.9,2.5,661.0,796.0,83.0,7735.0,1420.0,415.0,466.0,89.1,151.0,176.0,85.8,12.0,24.0,50.0,34.0,40.0,40.0,0.0,76.0,740.0,52.0,1.0,6.0,1.0,13.0,1.0,0.0,0.0,0.0,8.0,4.0,27.0,91.0,3.33,60.0,1.0,10.0,7.0,19.0,0.7,14.0,0.0,2.0,1.0,0.0,17.0,9.0,1.0,10.0,6.0,15.0,1.0,14.0,9.0,3.0,0.0,1119.0,4.0,22.0,384.0,724.0,200.0,1117.0,824.0,81.0,60.0,35.0,896.0,74.0,54.0,0.0,21.0,25.0,26.0,0.0,0.0,0.0,70.0,17.0,22.0,43.6
Ruben Aguilar,fr FRA,DF,Montpellier,fr Ligue 1,25,1993,29.0,29.0,2528.0,1.0,4.0,0.0,0.0,8.0,0.0,0.04,0.14,0.18,0.04,0.18,0.9,0.9,0.03,0.03,2018-2019,28.1,4.0,0.0,30.8,0.14,0.08,0.25,0.07,0.1,0.1,1315.0,1640.0,80.2,20563.0,7554.0,730.0,806.0,90.6,468.0,573.0,81.7,86.0,159.0,54.1,44.0,82.0,46.0,25.0,128.0,1334.0,297.0,15.0,0.0,7.0,115.0,1.0,0.0,0.0,0.0,281.0,9.0,51.0,103.0,3.67,80.0,8.0,2.0,7.0,7.0,0.25,6.0,0.0,1.0,0.0,0.0,88.0,51.0,40.0,33.0,15.0,23.0,3.0,20.0,37.0,50.0,1.0,1970.0,63.0,417.0,953.0,614.0,35.0,1970.0,921.0,85.0,60.0,9.0,1172.0,47.0,26.0,0.0,37.0,40.0,1.0,0.0,1.0,0.0,185.0,28.0,32.0,46.7
Juan Aguilera,es ESP,MF,Huesca,es La Liga,32,1985,6.0,4.0,344.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.14,0.14,2018-2019,3.8,1.0,0.0,33.3,0.26,0.0,0.0,0.17,-0.5,-0.5,166.0,189.0,87.8,2706.0,846.0,90.0,93.0,96.8,58.0,68.0,85.3,14.0,19.0,73.7,0.0,16.0,3.0,2.0,21.0,180.0,6.0,6.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,1.57,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,4.0,2.0,2.0,4.0,2.0,0.0,217.0,5.0,35.0,154.0,30.0,4.0,217.0,130.0,8.0,2.0,1.0,150.0,4.0,2.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,27.0,4.0,4.0,50.0
