player,nationality,position,team,comp_level,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_per90,npxg_per90,Season,minutes_90s,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,throw_ins,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,blocks,blocked_shots,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,carries,progressive_carries,carries_into_final_third,carries_into_penalty_area,passes_received,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Federico Dimarco,it ITA,DF,Inter,it Serie A,21,1997,3.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.11,2019-2020,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,11.0,13.0,84.6,166.0,45.0,7.0,7.0,100.0,3.0,4.0,75.0,1.0,2.0,50.0,0.0,1.0,0.0,0.0,1.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,18.0,0.0,4.0,9.0,5.0,1.0,18.0,7.0,1.0,0.0,0.0,7.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0
Tristan Dingomé,cm CMR,MF,Reims,fr Ligue 1,28,1991,15.0,12.0,892.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.1,0.1,0.0,0.1,0.4,0.4,0.04,0.04,2019-2020,9.9,1.0,0.0,11.1,0.1,0.0,0.0,0.05,-0.4,-0.4,267.0,374.0,71.4,4508.0,988.0,136.0,168.0,81.0,97.0,127.0,76.4,25.0,42.0,59.5,12.0,28.0,13.0,0.0,51.0,355.0,16.0,3.0,5.0,2.0,17.0,8.0,1.0,3.0,0.0,5.0,3.0,12.0,30.0,3.03,25.0,3.0,1.0,1.0,3.0,0.3,3.0,0.0,0.0,0.0,0.0,10.0,4.0,3.0,6.0,1.0,6.0,0.0,6.0,6.0,1.0,0.0,441.0,4.0,51.0,223.0,167.0,15.0,441.0,224.0,1.0,3.0,0.0,332.0,21.0,11.0,0.0,20.0,10.0,0.0,0.0,0.0,0.0,42.0,2.0,6.0,25.0
Lois Diony,fr FRA,FW,Saint-Étienne,fr Ligue 1,26,1992,12.0,8.0,666.0,2.0,0.0,0.0,0.0,1.0,0.0,0.27,0.0,0.27,0.27,0.27,1.2,1.2,0.16,0.16,2019-2020,7.4,7.0,2.0,46.7,0.95,0.13,0.29,0.08,0.8,0.8,65.0,107.0,60.7,850.0,178.0,34.0,48.0,70.8,21.0,38.0,55.3,2.0,4.0,50.0,5.0,5.0,5.0,0.0,9.0,98.0,8.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,12.0,1.62,10.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,5.0,0.0,11.0,4.0,3.0,0.0,3.0,1.0,0.0,0.0,177.0,1.0,5.0,70.0,104.0,26.0,177.0,110.0,15.0,5.0,6.0,138.0,19.0,14.0,0.0,11.0,8.0,4.0,0.0,0.0,0.0,15.0,10.0,25.0,28.6
Issa Diop,fr FRA,DF,West Ham,eng Premier League,22,1997,32.0,31.0,2766.0,3.0,1.0,0.0,0.0,8.0,0.0,0.1,0.03,0.13,0.1,0.13,1.5,1.5,0.05,0.05,2019-2020,30.7,6.0,0.0,40.0,0.2,0.2,0.5,0.1,1.5,1.5,762.0,979.0,77.8,14303.0,6015.0,281.0,329.0,85.4,393.0,450.0,87.3,75.0,165.0,45.5,5.0,44.0,2.0,0.0,44.0,938.0,39.0,37.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,11.0,10.0,0.33,7.0,1.0,2.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,27.0,15.0,18.0,9.0,0.0,37.0,21.0,16.0,47.0,166.0,2.0,1317.0,229.0,698.0,588.0,39.0,25.0,1317.0,630.0,7.0,2.0,0.0,629.0,10.0,5.0,0.0,31.0,11.0,1.0,0.0,3.0,0.0,145.0,79.0,39.0,66.9
Papakouli Diop,sn SEN,MF,Eibar,es La Liga,33,1986,30.0,25.0,2253.0,1.0,0.0,0.0,0.0,7.0,0.0,0.04,0.0,0.04,0.04,0.04,1.2,1.2,0.05,0.05,2019-2020,25.0,6.0,0.0,22.2,0.24,0.04,0.17,0.05,-0.2,-0.2,564.0,789.0,71.5,10569.0,3054.0,227.0,295.0,76.9,258.0,325.0,79.4,68.0,126.0,54.0,15.0,79.0,2.0,0.0,94.0,767.0,17.0,17.0,2.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,33.0,1.32,26.0,1.0,2.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,39.0,26.0,13.0,22.0,4.0,24.0,7.0,17.0,34.0,38.0,0.0,1033.0,47.0,170.0,664.0,206.0,25.0,1033.0,447.0,6.0,13.0,4.0,508.0,29.0,14.0,0.0,53.0,34.0,1.0,0.0,0.0,0.0,141.0,62.0,47.0,56.9
Assane Dioussé,sn SEN,MF,Saint-Étienne,fr Ligue 1,21,1997,4.0,1.0,120.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,2019-2020,1.3,1.0,0.0,100.0,0.75,0.0,0.0,0.03,0.0,0.0,38.0,50.0,76.0,571.0,179.0,21.0,28.0,75.0,16.0,19.0,84.2,1.0,2.0,50.0,1.0,1.0,1.0,0.0,6.0,49.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.25,3.0,0.0,0.0,0.0,1.0,0.75,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,62.0,1.0,18.0,41.0,4.0,0.0,62.0,27.0,4.0,1.0,0.0,33.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,1.0,50.0
Axel Disasi,fr FRA,DF,Reims,fr Ligue 1,21,1998,27.0,27.0,2430.0,1.0,0.0,0.0,0.0,3.0,0.0,0.04,0.0,0.04,0.04,0.04,2.8,2.8,0.1,0.1,2019-2020,27.0,2.0,0.0,13.3,0.07,0.07,0.5,0.19,-1.8,-1.8,1270.0,1507.0,84.3,26962.0,9196.0,347.0,389.0,89.2,716.0,781.0,91.7,195.0,306.0,63.7,5.0,93.0,8.0,0.0,114.0,1468.0,36.0,29.0,2.0,17.0,4.0,0.0,0.0,0.0,0.0,7.0,3.0,8.0,22.0,0.81,22.0,0.0,0.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,32.0,21.0,18.0,13.0,1.0,29.0,24.0,5.0,26.0,97.0,0.0,1759.0,212.0,978.0,733.0,56.0,20.0,1759.0,1003.0,42.0,11.0,1.0,1177.0,11.0,5.0,0.0,37.0,24.0,0.0,0.0,2.0,0.0,130.0,71.0,50.0,58.7
Tiago Djaló,pt POR,DF,Lille,fr Ligue 1,19,2000,8.0,8.0,661.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-2020,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,385.0,452.0,85.2,7384.0,2296.0,117.0,124.0,94.4,220.0,239.0,92.1,36.0,63.0,57.1,1.0,9.0,0.0,0.0,21.0,431.0,19.0,12.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,7.0,2.0,8.0,4.0,0.54,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,5.0,3.0,1.0,3.0,2.0,1.0,11.0,28.0,0.0,507.0,37.0,219.0,279.0,17.0,0.0,507.0,319.0,6.0,3.0,0.0,348.0,3.0,3.0,0.0,9.0,5.0,0.0,0.0,1.0,0.0,54.0,9.0,10.0,47.4
Djené,tg TOG,DF,Getafe,es La Liga,27,1991,34.0,34.0,3060.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.01,0.01,2019-2020,34.0,1.0,0.0,20.0,0.03,0.0,0.0,0.06,-0.3,-0.3,711.0,1031.0,69.0,15530.0,6645.0,196.0,255.0,76.9,376.0,477.0,78.8,131.0,262.0,50.0,6.0,75.0,6.0,3.0,98.0,983.0,44.0,39.0,2.0,10.0,10.0,0.0,0.0,0.0,0.0,5.0,4.0,13.0,13.0,0.38,9.0,2.0,2.0,0.0,1.0,0.03,0.0,0.0,1.0,0.0,0.0,42.0,32.0,27.0,15.0,0.0,20.0,7.0,13.0,34.0,105.0,1.0,1305.0,130.0,620.0,641.0,57.0,14.0,1305.0,492.0,20.0,6.0,1.0,432.0,18.0,8.0,0.0,41.0,25.0,1.0,0.0,2.0,1.0,228.0,86.0,63.0,57.7
Moussa Djenepo,ml MLI,"MF,DF",Southampton,eng Premier League,21,1998,18.0,10.0,928.0,2.0,2.0,0.0,0.0,4.0,1.0,0.19,0.19,0.39,0.19,0.39,2.4,2.4,0.23,0.23,2019-2020,10.3,7.0,0.0,35.0,0.68,0.1,0.29,0.12,-0.4,-0.4,188.0,270.0,69.6,2553.0,814.0,114.0,134.0,85.1,52.0,79.0,65.8,9.0,24.0,37.5,11.0,13.0,11.0,1.0,27.0,259.0,10.0,0.0,1.0,2.0,21.0,0.0,0.0,0.0,0.0,9.0,1.0,10.0,39.0,3.78,16.0,0.0,1.0,9.0,6.0,0.58,2.0,0.0,0.0,0.0,0.0,27.0,21.0,13.0,9.0,5.0,15.0,1.0,14.0,9.0,9.0,0.0,461.0,15.0,79.0,189.0,198.0,44.0,461.0,291.0,39.0,20.0,13.0,306.0,40.0,21.0,0.0,23.0,30.0,3.0,0.0,0.0,0.0,48.0,3.0,16.0,15.8
